"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At"
"spotify:track:0VWpxcuvxezl8a3RipOTgM","BACK FOR YOU","spotify:artist:2LZDXcxJWgsJfKXZv9a5eG","Cashmere Cat","spotify:album:5DFEo8Nh5N6BYScoCDKvkh","PRINCESS CATGIRL","2019-09-20","1","3","150891","false","35","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:6yWSwYocRCCzg3LP4gJemY","WATERGIRL","spotify:artist:2LZDXcxJWgsJfKXZv9a5eG","Cashmere Cat","spotify:album:5DFEo8Nh5N6BYScoCDKvkh","PRINCESS CATGIRL","2019-09-20","1","2","178859","false","38","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0yAJjQjmcTeCZKf7JkLFVQ","Rush Hour Crush","spotify:artist:7ANeFdhioipksT9lqg0Ay6","Ego Ella May","spotify:album:33Fn7WWfj2hGL7SEjYvsL9","So Far","2019-09-18","1","8","202170","false","13","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:05a4pf6pLGNuIOR04EpqMM","Only One to Blame","spotify:artist:1Q2mS59tFYLm2KGFoCgWN4","Samm Henshaw","spotify:album:2n6dD7Xk1oXcqSG2CdQtJt","Only One to Blame","2019-09-20","1","1","288467","false","46","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3Yt0liwMgB3I0xv3FQBDzI","Buying Time","spotify:artist:5Vuvs6Py2JRU7WiFDVsI7J","Lucky Daye","spotify:album:4w2JvzBwaKaYBdLWeepWI3","Buying Time","2019-09-18","1","1","236949","true","58","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:21jActlsyXzkKDkN3LK6G7","달리","spotify:artist:78sJswwVn4P8aEhkF4K6fQ, spotify:artist:3kPEBSt7qgVoRZSbIXMr7W","Hyolyn, GRAY","spotify:album:6CpcO4lSnGzivL5D1OB2RK","달리","2018-04-23","1","1","203000","false","61","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:70C06cr5n4kFRfOltnNppP","Roll With Us","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:27QWgoMSCmYURzE6hSUAjZ","Roll With Us","2018-02-01","1","1","180880","true","38","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:4pthvdNd1EypeNic7l5ngz","I’m fine (With Sleepy, LOCO, Hoody)","spotify:artist:3kPEBSt7qgVoRZSbIXMr7W, spotify:artist:7lXgbtBDcCRbfc5f8FhGUL, spotify:artist:2e4G04F77jxVuDYo44TCSm, spotify:artist:5qp3vJC5OdDo1Zsrsl3sIR","GRAY, Hoody, Loco, Sleepy","spotify:album:62S9H2fOKaEZzgwQjOByY5","The hyena on the keyboard","2017-10-09","1","2","197734","false","44","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5mTJcvxRxq3uF5wUjjciDw","Lucky Strike","spotify:artist:3WGpXCj9YhhfX11TToZcXP","Troye Sivan","spotify:album:1OyADPvYTlmT5hV0mtxLAY","Bloom","2018-08-31","1","9","208967","false","2","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:4f0TlCHam2muRhB6TYYW8l","Psycho","spotify:artist:17Q9sCBpIyS6yM2YyaI6R4","Lords Of The Underground","spotify:album:15nPVESpZNf0QBRwu2sMbI","Here Come The Lords","1993-01-01","1","10","249000","true","30","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3zsIFV56xKCODHdLwbz8jt","Ghost","spotify:artist:2W8tmumOv76P22QElkqPCS","ZIN","spotify:album:53jbJiiB2OchTlkf3It4Ie","BHOYZ","2018-10-17","1","1","266306","false","0","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:45PlbE4dJrvGAEH0nDhNw5","Green Girl","spotify:artist:2W8tmumOv76P22QElkqPCS","ZIN","spotify:album:53jbJiiB2OchTlkf3It4Ie","BHOYZ","2018-10-17","1","2","231373","false","6","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:7cQesUfdJ3kMjdwwTG9ph3","in the mirror","spotify:artist:2W8tmumOv76P22QElkqPCS, spotify:artist:5iISQR00Eel3mcB8eKlsRt","ZIN, showmore","spotify:album:0drOqUZdIqCXDC5Eh2vTn4","in the mirror","2019-07-03","1","1","339272","false","2","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5GlXWvhXW7EQ2RiGKbVJEt","As Long As You're Asleep","spotify:artist:30DhU7BDmF4PH0JVhu8ZRg","Sabrina Claudio","spotify:album:3boDP5dWDe5JsnF3KvRZSL","""Truth Is"" - The Short Collection","2019-09-19","1","4","162000","false","0","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5J9Vd4WXIOt4fHfVGcdQP8","Hana-bi feat. BIM","spotify:artist:5JlRv2tBZk1f4c7UULHkUY, spotify:artist:704gz1q9ieRxZfTkhPlZGG","VaVa, BIM","spotify:album:2WXM3eH5VthhYEcSADakJb","VVORLD","2019-02-20","1","6","168866","false","30","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0RON3lgw0FzzO0iBXyTPcc","Virtual Luv feat. tofubeats","spotify:artist:5JlRv2tBZk1f4c7UULHkUY, spotify:artist:2FzqIT8JP1gd3Tlo6ix1fT","VaVa, tofubeats","spotify:album:2WXM3eH5VthhYEcSADakJb","VVORLD","2019-02-20","1","4","199755","false","37","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:2jHcuHmJKmxFWHbi4bxWkn","LOVE (Prod by jjj)","spotify:artist:7kj57NIwoqvnBTSpSgrO3p, spotify:artist:01b6szRrEne55vkR4tVPHP","C.O.S.A., KID FRESINO","spotify:album:4LWh7JTNgcf13LJr0cRqKm","Somewhere","2016-07-20","1","2","219652","false","45","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:4vfpGhcp68qVyE7Lx9QXLU","Breakfast In Bed","spotify:artist:1HpL1Q0ixotgDFMm7ZlRDU, spotify:artist:0qQOHfWvRf8O1wXYXMmV6U","MALIYA, Ryohu","spotify:album:7JjduXRR2ktj6pGAcn4PwC","ego","2018-02-07","1","7","256629","false","41","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:7tgNpUboH9He1llOVZlHw1","Understand Yourself (feat. Chronixx)","spotify:artist:7iUF39q93Xixo33E6IvNYm, spotify:artist:2oZcMYiKpjaA2Et5mU3RPP","Theo Croker, Chronixx","spotify:album:4oxXzA5rNIBilAsmoK88Yg","Star People Nation","2019-05-17","1","10","306573","false","14","spotify:user:1227113","2019-12-13T16:28:46Z"
